"year","duration","track"
"2010","5.37","Tuesday"
"2010","3.82","Today"
"2010","3.18","MEGATRON"
"2010","4.1","I Love You This Big"
"2010","4.65","Stubborn Love"
"2010","3.32","Kill A Word"
"2010","3.17","The Lazy Song"
"2010","4.24","Comin Out Strong"
"2010","3.42","Homegrown"
"2010","3.62","My Chick Bad"
"2010","3.68","Bright"
"2010","4.75","Didn't You Know How Much I Loved You"
"2010","4.48","Temporary Home"
"2010","4.46","LoveHate Thing"
"2010","3.91","***Flawless"
"2010","4.36","No Complaints"
"2010","3.68","Change Locations"
"2010","3.13","Let Me See Ya Girl"
"2010","3.58","Every Time I Hear That Song"
"2010","4.41","Deja Vu"
"2010","2.4","Press"
"2010","3.95","Tell Me You Love Me"
"2010","3.69","Try Me"
"2010","3.62","Yours"
"2010","3.34","Ocean Eyes"
"2010","3.12","I Was Jack (You Were Diane)"
"2010","4.19","Give It All We Got Tonight"
"2010","5.15","When We"
"2010","3.17","""Break Up With Your Girlfriend, I'm Bored"""
"2010","3.97","All The Right Moves"
"2010","4.6","Know Yourself"
"2010","4.17","Half Of My Heart"
"2010","5.87","Bad Habits"
"2010","3.3","Turn The Night Up"
"2010","3.59","Talk That Talk"
"2010","2.93","1400 / 999 Freestyle"
"2010","3.64","Footloose"
"2010","3.06","Loca"
"2010","3.46","Never Enough"
"2010","4.21","Let Her Go"
"2010","2.72","How Far I'll Go"
"2010","1.4","Love Me Harder"
"2010","3.97","L$D"
"2010","3.36","Chanel (Go Get It)"
"2010","4.85","$ave Dat Money"
"2010","4.47","A Sky Full Of Stars"
"2010","5.72","Bad And Boujee"
"2010","4.14","On Fire"
"2010","3.47","Subeme La Radio"
"2010","3.6","Part Of Me"
"2010","4.57","American Saturday Night"
"2010","3.79","I'm Ready"
"2010","2.95","Gangsta"
"2010","3.78","Play It Again"
"2010","3.74","American Girl"
"2010","3.65","Family Man"
"2010","3.61","Blem"
"2010","4.07","Brand New"
"2010","3.91","Raging Fire"
"2010","4.09","Die For Me"
"2010","3.21","Hide Away"
"2010","3.41","Mask Off"
"2010","3.5","A Woman Like You"
"2010","3.17","Fix"
"2010","3.25","Mr. Saxobeat"
"2010","2.66","Keep Them Kisses Comin'"
"2010","2.5","Here Comes Santa Claus (Right Down Santa Claus Lane)"
"2010","3.5","Memories"
"2010","2.9","Watermelon Sugar"
"2010","3.39","If It Ain't Love"
"2010","4.31","Money To Blow"
"2010","3.75","Rude"
"2010","3.7","Call On Me"
"2010","3.01","Cheerleader"
"2010","3.7","The Way Life Goes"
"2010","3.08","Lego House"
"2010","9.13","Runaway"
"2010","3.75","Hillbilly Bone"
"2010","3.91","OOOUUU"
"2010","3.4","That's My Girl"
"2010","4.88","Downtown"
"2010","3.16","Prayer In C"
"2010","4.1","Dedication"
"2010","3.82","Where Do Broken Hearts Go"
"2010","3.58","Bad Liar"
"2010","3.15","Worth It"
"2010","3.81","Unconditionally"
"2010","3.51","Little Toy Guns"
"2010","3.66","Omerta"
"2010","3.25","Into The Unknown"
"2010","2.88","The Fix"
"2010","5.06","Pop That"
"2010","3.78","The Way"
"2010","3.48","Rich"
"2010","3.29","Up Down"
"2010","3.94","P.Y.T. (Pretty Young Thing)"
"2010","3.19","Animal"
"2010","3.5","Stay"
"2010","4.83","Remember You"
"2010","4.5","Heartbreak Warfare"
"2010","3.29","2 Reasons"
"2010","4.73","Shining"
"2010","3.16","Still Here"
"2010","3.39","Run Up"
"2010","3.26","Whispers In The Dark"
"2010","3.89","Locked Out Of Heaven"
"2010","3.72","Word Crimes"
"2010","2.94","Issues"
"2010","4.2","Check It Out"
"2010","3.1","4422"
"2010","3.38","Young Dumb & Broke"
"2010","3.58","Want U Back"
"2010","4.76","The Moment I Knew"
"2010","3.64","Molly"
"2010","3.73","Craving You"
"2010","3.32","Something To Do With My Hands"
"2010","6.53","The Boys of Fall"
"2010","3.84","Mixed Personalities"
"2010","3.66","A Little More Summertime"
"2010","4.12","U Can't Touch This"
"2010","4.14","Confident"
"2010","3.6","Hey Pretty Girl"
"2010","2.76","Good Vibes"
"2010","3.7","Shots"
"2010","3.6","One Time"
"2010","2.48","Camelot"
"2010","3.85","Slide"
"2010","3.78","Post To Be"
"2010","4.09","everything i wanted"
"2010","2.13","I Love It"
"2010","3.55","Best Friend"
"2010","4.35","Bad Liar"
"2010","2.81","All The Good Girls Go To Hell"
"2010","3.85","You Belong With Me"
"2010","3.37","Ex's & Oh's"
"2010","3.64","Rockstar"
"2010","3.84","Check"
"2010","4","Ain't Back Yet"
"2010","4.08","Wit Me"
"2010","3.1","Little White Church"
"2010","4.19","Don't Let Me Be Lonely"
"2010","4.69","There Goes My Baby"
"2010","3.87","i"
"2010","3.67","Congratulations"
"2010","3.23","Growing Pains"
"2010","7.09","Not Ready To Die"
"2010","3.24","Sober Saturday Night"
"2010","2.96","Splashin"
"2010","5.57","Redemption"
"2010","2.87","Night Shift"
"2010","4.56","Let There Be Cowgirls"
"2010","3.02","Sucker"
"2010","3.84","Letting Go (Dutty Love)"
"2010","3.62","Need You Now"
"2010","4.3","Til It Happens To You"
"2010","4.78","John"
"2010","4.37","Changed"
"2010","4.12","How We Do (Party)"
"2010","3.66","El Amante"
"2010","3.3","Feelin' It"
"2010","3.25","Show Me Love"
"2010","3.7","Stronger (What Doesn't Kill You)"
"2010","3.5","Always Remember Us This Way"
"2010","4.03","Make Me (Cry)"
"2010","3.33","Turn Me On"
"2010","3.02","Kiss You In The Morning"
"2010","4.35","Castle On The Hill"
"2010","3.92","Love Yourself"
"2010","1.59","Everybody Dies In Their Nightmares"
"2010","2.72","Baby"
"2010","3.28","Never Gonna Leave This Bed"
"2010","3.13","All Gold Everything"
"2010","3.78","Who Do You Love"
"2010","3.78","Beauty And A Beat"
"2010","3.89","Heart Attack"
"2010","2.67","Ophelia"
"2010","3.39","Lettin' The Night Roll"
"2010","3.76","This Is America"
"2010","3.11","My Songs Know What You Did In The Dark (Light Em Up)"
"2010","3.91","Freak The Freak Out"
"2010","4.56","Alone"
"2010","3.33","American Country Love Song"
"2010","3.22","Sick Boy"
"2010","3.38","If I Didn't Have You"
"2010","3.45","Can't Remember To Forget You"
"2010","2.73","You Was Right"
"2010","5","Make Love"
"2010","5.02","Alice"
"2010","3.6","The Breath You Take"
"2010","4.18","What's The Move"
"2010","3.72","You Can't Stop The Beat"
"2010","2.96","I'm Not Gonna Miss You"
"2010","3.28","679"
"2010","2.51","Bad Vibes Forever"
"2010","4.39","Come Wake Me Up"
"2010","3.98","Is Anybody Out There?"
"2010","3.29","Diamond Rings And Old Barstools"
"2010","3.77","In The Dark"
"2010","4.27","Don't You Wanna Stay"
"2010","3.39","Alone Together"
"2010","4.72","Tattoo"
"2010","2.95","Crew"
"2010","3.92","No Heart"
"2010","3.59","All Eyez"
"2010","4.43","Secrets"
"2010","3.36","You Don't Own Me"
"2010","3.98","Coming Home"
"2010","3.14","Sin Pijama"
"2010","3.63","I Knew You Were Trouble."
"2010","2.77","Twerk"
"2010","3.22","HandClap"
"2010","4.65","Writing's On The Wall"
"2010","3.26","Female"
"2010","3.55","Blame"
"2010","3.76","Daylight"
"2010","3.51","The Dance"
"2010","4.24","First Day Out"
"2010","4.22","Love Me"
"2010","3.36","Where I Come From"
"2010","3.7","Paranoid"
"2010","2.97","Don't Call Me Up"
"2010","3.85","Broken Clocks"
"2010","3.32","Sexy And I Know It"
"2010","3.59","Relationship"
"2010","4.41","Apes**t"
"2010","4.51","Sing"
"2010","2.55","No Excuses"
"2010","3.47","Company"
"2010","2.18","Jingle Bell Rock"
"2010","3.22","The Only Way I Know"
"2010","3.87","Malibu"
"2010","3.89","Slide Away"
"2010","2.18","Mine"
"2010","4.31","X"
"2010","4","Storm Warning"
"2010","4.36","Lookin' For That Girl"
"2010","2.95","Everybody Talks"
"2010","3.87","Delicate"
"2010","3.23","Runnin' Outta Moonlight"
"2010","4.48","Ghostface Killers"
"2010","3.37","Juicy"
"2010","5.35","All I Know"
"2010","4.01","Every Teardrop Is A Waterfall"
"2010","3.28","Everything To Me"
"2010","3.46","Say Aah"
"2010","4.21","The Outsiders"
"2010","3.72","Feels"
"2010","3.54","Ain't Worried About Nothin"
"2010","3.11","Round & Round"
"2010","3.54","Fast Car"
"2010","3.48","Desperate Man"
"2010","3.48","(If You're Wondering If I Want You To) I Want You To"
"2010","3.52","For Her"
"2010","4.08","End Game"
"2010","3.85","Better Now"
"2010","3.88","(Kissed You) Good Night"
"2010","3.84","Blue Ain't Your Color"
"2010","3.6","Don't Go Breaking My Heart"
"2010","4.58","Prisoner"
"2010","3.35","Lost In Japan"
"2010","3.23","Me And My Broken Heart"
"2010","3.21","Miss Me More"
"2010","3.34","Get Ugly"
"2010","4.18","Cranes In The Sky"
"2010","3.21","You And Your Heart"
"2010","3.86","I Like It"
"2010","3.96","Hello"
"2010","3.18","Ready Set Roll"
"2010","3.22","Girl Crush"
"2010","4.49","All Of Me"
"2010","3.62","You"
"2010","3.74","That's How Country Boys Roll"
"2010","3.33","Super Bass"
"2010","3.25","Everyday"
"2010","2.67","Booty"
"2010","1.79","Jorja Interlude"
"2010","2.62","Unforgettable"
"2010","2.2","Everytime"
"2010","3.42","Cold One"
"2010","2.7","Rotten To The Core"
"2010","3.65","Listen"
"2010","4.14","Not Afraid"
"2010","3.19","Every Breath You Take"
"2010","3.14","I Like It Like That"
"2010","3.35","Who's That Chick?"
"2010","3.88","Body"
"2010","4.01","Good Old Days"
"2010","4.14","The Sound Of Silence"
"2010","1.61","Baby Shark"
"2010","4.09","Controlla"
"2010","4.12","I Don't Wanna Live Forever (Fifty Shades Darker)"
"2010","3.55","Come Get Her"
"2010","3.74","Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot..."
"2010","8.93","Oceans (Where Feet May Fail)"
"2010","3.88","Call Casting"
"2010","4.64","Get You"
"2010","3.05","Mistletoe"
"2010","2.83","W O R K I N  M E"
"2010","3.78","A Lie"
"2010","4.01","Planez"
"2010","3.98","Rockstar 101"
"2010","3.38","Love You Like That"
"2010","3.19","Hello"
"2010","3.5","Snap Backs & Tattoos"
"2010","3.12","Make It Sweet"
"2010","3.36","No Mediocre"
"2010","3.79","Russian Roulette"
"2010","4.15","Often"
"2010","3","Pretty Good At Drinkin' Beer"
"2010","4.4","Blurred Lines"
"2010","2.55","What Would Meek Do?"
"2010","3.72","I Fall Apart"
"2010","3.86","Helluva Life"
"2010","4.56","Colder Weather"
"2010","3.57","Don't Wanna Know"
"2010","3.97","Electricity"
"2010","4.55","Drifting"
"2010","3.06","Va Va Voom"
"2010","3.75","Diamonds"
"2010","3.69","Just Us"
"2010","2.9","Sweetener"
"2010","3.34","According To You"
"2010","3.83","E.T."
"2010","3","Here For A Good Time"
"2010","4.19","California King Bed"
"2010","3.1","DNA."
"2010","3.11","Angel Eyes"
"2010","4.86","Black Beatles"
"2010","3.99","Bad Things"
"2010","5.04","Emotionless"
"2010","3.91","Proud"
"2010","3.46","Watch Out"
"2010","4.4","No Hands"
"2010","3.67","Grammys"
"2010","2.8","Staring At The Sun"
"2010","4.81","A Lot"
"2010","3.69","Wrecking Ball"
"2010","3.71","We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song]"
"2010","2.47","Tap"
"2010","2.88","Stay With Me"
"2010","3.71","Good Drank"
"2010","3.5","Friday"
"2010","3.96","I Wish You Would"
"2010","5.31","Same Love"
"2010","3.77","Hot Shower"
"2010","3.28","Harlem Shake"
"2010","4.29","High By The Beach"
"2010","3.82","Nobody Else But You"
"2010","3.56","Ice Tray"
"2010","2.26","A Holly Jolly Christmas"
"2010","3.58","It All Comes Out In The Wash"
"2010","3.59","Circles"
"2010","3.12","It's Time"
"2010","4.28","Words I Never Said"
"2010","3.83","Hurt You"
"2010","3.25","Tell Me Something Good"
"2010","3.66","Better Together"
"2010","3.54","Pontoon"
"2010","2.88","Side Effects"
"2010","3.7","Living"
"2010","5.63","Believe Me"
"2010","3.23","All We Know"
"2010","4.14","Mrs. Right"
"2010","3.84","Krippy Kush"
"2010","4.04","Southern Voice"
"2010","3.05","American Kids"
"2010","3.73","As She's Walking Away"
"2010","4.86","Greatest Love Of All"
"2010","4.49","That Way"
"2010","3.81","Martians Vs Goblins"
"2010","2.73","Pretty Girls"
"2010","5.07","Memories Back Then"
"2010","3.79","Brokenhearted"
"2010","4.65","Bandz A Make Her Dance"
"2010","4.99","Go Loko"
"2010","3.37","Summer Sixteen"
"2010","5.28","Southern Comfort Zone"
"2010","3.7","Trap Queen"
"2010","3.74","Love Runs Out"
"2010","3.48","Babel"
"2010","3.35","Writing On The Wall"
"2010","3.98","Jumpsuit"
"2010","3.34","Kevin's Heart"
"2010","3.56","On My Way To You"
"2010","3.06","New Americana"
"2010","3.92","Kush"
"2010","3.37","Under The Sun"
"2010","3.66","Make Me Proud"
"2010","3.65","Body Language"
"2010","3.79","Something In The Way You Move"
"2010","3.16","Immortals"
"2010","3.71","Que Pretendes"
"2010","3.75","Like I'm Gonna Lose You"
"2010","3.29","Baby I"
"2010","3.22","Fix A Heart"
"2010","3.63","Lonely Child"
"2010","3.03","One Thing Right"
"2010","3.45","Powerful"
"2010","4.01","Speak Now"
"2010","4.17","Grove St. Party"
"2010","3.74","Secrets"
"2010","3.44","Feel So Close"
"2010","3.15","No Money"
"2010","3.29","R.I.C.O."
"2010","3.04","Hard Times"
"2010","2.98","Day Drinking"
"2010","4","Blown Away"
"2010","4.49","Uptown Funk!"
"2010","3.97","The Truth"
"2010","4","Lucid Dreams"
"2010","3.24","Hot Boy"
"2010","2.43","U Guessed It"
"2010","3.88","We'll Be A Dream"
"2010","3.88","Lonesome Broken And Blue"
"2010","2.83","Don't Stop"
"2010","3.54","Unusual"
"2010","3.15","We Were"
"2010","3.4","Timber"
"2010","5.67","Move That Doh"
"2010","3.94","The House That Built Me"
"2010","3.25","Never Recover"
"2010","3.17","Life Changes"
"2010","2.9","Drunk On Your Love"
"2010","3.68","No Worries"
"2010","2.56","Shoota"
"2010","3.17","Uptown Vibes"
"2010","2.77","Nuketown"
"2010","3.73","All Eyes On You"
"2010","3.35","Too Good At Goodbyes"
"2010","3.37","Make A Movie"
"2010","3.41","This Is What It Feels Like"
"2010","3.54","Hold My Hand"
"2010","3","I'll Kill You"
"2010","2.97","Consequences"
"2010","3.49","Black Widow"
"2010","3.7","La La La"
"2010","3.72","Bow Chicka Wow Wow"
"2010","3.89","I Never Told You"
"2010","3.35","Ain't Leavin Without You"
"2010","3.51","All Or Nothing"
"2010","3.09","Simple"
"2010","3.79","The Night Is Still Young"
"2010","2.94","Lean On"
"2010","3.09","Gimmie That Girl"
"2010","5.05","MotorSport"
"2010","2.51","BAD!"
"2010","3.67","I Don't Care"
"2010","3.35","Who Dat Girl"
"2010","4.27","On To The Next One"
"2010","4.09","Your Love"
"2010","3.34","Hey Girl"
"2010","4.28","White Iverson"
"2010","3.7","Ass Back Home"
"2010","2.93","HIGHEST IN THE ROOM"
"2010","2.95","Undo It"
"2010","3.49","Flashlight"
"2010","3.17","Keep Your Head Up"
"2010","3.34","Jugg"
"2010","2.8","homecoming queen?"
"2010","3.27","Famous"
"2010","3.41","Could It Be"
"2010","3.7","Most People Are Good"
"2010","3.61","You Gonna Fly"
"2010","4.11","Take It On Back"
"2010","4.36","Cheers (Drink To That)"
"2010","2.06","Stuck In A Dream"
"2010","2.88","At The Club"
"2010","4.53","Mood 4 Eva"
"2010","2.85","When She Says Baby"
"2010","4","I Won"
"2010","3.02","Every Little Thing"
"2010","3.07","Dibs"
"2010","4.2","I Don't Mind"
"2010","3.93","Out Of The Woods"
"2010","3.04","Someone You Loved"
"2010","3.03","Magnolia"
"2010","3.33","I'll Show You"
"2010","4.91","Lord Above"
"2010","4.28","Cop Car"
"2010","3.51","Saturday Nights"
"2010","2.53","It's The Most Wonderful Time Of The Year"
"2010","3.61","Crying In The Club"
"2010","3.27","Somewhere In My Car"
"2010","3.75","In Case You Didn't Know"
"2010","3.84","22"
"2010","3.14","Love You Like A Love Song"
"2010","3.61","Do What U Want"
"2010","3.01","Another One Bites The Dust"
"2010","3.33","No Type"
"2010","3.41","Broken"
"2010","3.8","Meanwhile Back At Mama's"
"2010","3.34","I Do"
"2010","4.13","Automatic"
"2010","3.81","Call Out My Name"
"2010","3.51","Reality"
"2010","4.31","Secreto"
"2010","4.57","Wish I Knew You"
"2010","3.23","Sippin' On Fire"
"2010","3.18","Ruin My Life"
"2010","4.77","Anything Could Happen"
"2010","3.53","Blue Tacoma"
"2010","3.28","Omen"
"2010","4.17","Ima Boss"
"2010","6.16","Get Lucky"
"2010","3.89","I've Been Waiting"
"2010","3.56","XO"
"2010","3.59","From A Table Away"
"2010","4.16","""Save Me, San Francisco"""
"2010","2.82","Paradise"
"2010","3.49","New Rules"
"2010","2.29","Light It Up"
"2010","3.22","Hot"
"2010","3.86","Burning House"
"2010","3.44","Glow"
"2010","3.19","Smoke A Little Smoke"
"2010","3.04","Sunshine & Whiskey"
"2010","4.03","Bottoms Up"
"2010","3.34","Hands To Myself"
"2010","3.43","Good Time"
"2010","2.76","All Girls Are The Same"
"2010","4.34","Side To Side"
"2010","3.54","It's You"
"2010","2.72","Suge"
"2010","3.34","Love Like Woe"
"2010","3.32","Bang Bang"
"2010","3.82","One Less Lonely Girl"
"2010","3.56","Speechless"
"2010","3.08","The Middle"
"2010","3.47","Ghost Town"
"2010","3.48","Sexy People (The Fiat Song)"
"2010","2.99","Record Year"
"2010","4.75","Magic"
"2010","4.19","Selfish"
"2010","3.8","Shadow Days"
"2010","5.23","Stolen Dance"
"2010","3.75","Girl On Fire"
"2010","3.05","Kiss You"
"2010","4.52","I Will Always Love You"
"2010","3.51","Might Be"
"2010","3.33","Get Along"
"2010","3.17","Earfquake"
"2010","3.89","Jerry Sprunger"
"2010","3.22","1901"
"2010","3.76","Wish You Were Here"
"2010","3.74","Might Not"
"2010","2.24","Mark My Words"
"2010","3.45","Farmer's Daughter"
"2010","3.44","Cross Me"
"2010","4.2","Promise"
"2010","4.25","The Man"
"2010","3.3","Fresh Eyes"
"2010","3.77","Can't Get Enough"
"2010","3.8","Higher Love"
"2010","3.85","No Flex Zone"
"2010","2.15","Thotiana"
"2010","3.2","Like I Would"
"2010","4.67","Let's Go Crazy"
"2010","4.25","Immortal"
"2010","3.07","Dear Future Husband"
"2010","3.95","Amnesia"
"2010","4.38","OTW"
"2010","6.05","What's Free"
"2010","4.59","Sex Therapy"
"2010","4.85","When We Were Young"
"2010","3.37","Hookah"
"2010","4.68","You The Boss"
"2010","4.27","Walk"
"2010","3.34","Tonight Tonight"
"2010","4.66","Barbie Dreams"
"2010","3.2","Erase Me"
"2010","3.91","Cold"
"2010","3.9","Deja Vu"
"2010","3.87","She's So Mean"
"2010","4.94","She Knows"
"2010","3.92","Come Back Song"
"2010","4.88","No Role Modelz"
"2010","3.52","(It) Feels So Good"
"2010","2.39","Playing Games"
"2010","4.26","Diplomatic Immunity"
"2010","2.62","Old Town Road"
"2010","3.88","Creepin'"
"2010","2.13","Mac 10"
"2010","3.57","Smile (Living My Best Life)"
"2010","3.07","HP"
"2010","3.03","Right Now"
"2010","4.04","Listen Before I Go"
"2010","2.59","Lose My Mind"
"2010","4.66","I Hold On"
"2010","3.19","All That Matters"
"2010","4.9","Filthy"
"2010","3.8","Otherside"
"2010","2.96","Walk Me Home"
"2010","3.02","You Look Good"
"2010","3.2","We Were Us"
"2010","4.13","Am I Wrong"
"2010","3.09","When I Was Your Man"
"2010","3.14","Love Me Anyway"
"2010","5.12","You And I"
"2010","4.59","100"
"2010","4.03","Lose My Mind"
"2010","3.42","Ball"
"2010","3.8","Mirror"
"2010","3.29","One Thing"
"2010","4.14","Brown Skin Girl"
"2010","3.22","Adorn"
"2010","2.99","Beat Of The Music"
"2010","3.44","Don't Stop The Party"
"2010","3.89","Neon Lights"
"2010","2.71","KMT"
"2010","3.39","""Mary, Did You Know?"""
"2010","3.47","Don't Let Me Down"
"2010","3.76","Gold"
"2010","3.67","Snitches Ain't..."
"2010","3.39","Call It What You Want"
"2010","3.55","My Baby's Guns N' Roses"
"2010","2.97","Negative Energy"
"2010","3.63","A Girl Like You"
"2010","4.46","Run This Town"
"2010","4.71","The Adventures Of Rain Dance Maggie"
"2010","3.68","This Is How We Roll"
"2010","3.23","Unsteady"
"2010","3.85","On The Floor"
"2010","3.91","I Need Your Love"
"2010","4.34","Bounce It"
"2010","3.52","Billionaire"
"2010","3.44","Good Girls"
"2010","3.93","Thrift Shop"
"2010","3.32","Dust"
"2010","3.55","Get Her Back"
"2010","3.56","Applause"
"2010","3.11","Down To The Honkytonk"
"2010","3.61","ATM"
"2010","4.83","For You"
"2010","4.58","You Say"
"2010","2.67","Yah."
"2010","4.29","Promises"
"2010","3.65","Photograph"
"2010","3.29","I Like Me Better"
"2010","3.95","I Want Crazy"
"2010","3.65","Beautiful Now"
"2010","3.22","Con Calma"
"2010","4.29","Get Right Witcha"
"2010","3.66","Dirty Picture"
"2010","2.83","""Hey Look Ma, I Made It"""
"2010","4.29","Ooh La La"
"2010","3.65","Live A Little"
"2010","3.73","F.N"
"2010","2.66","Falling"
"2010","3.06","I'll Name The Dogs"
"2010","3.91","King Kunta"
"2010","2.56","No Idea"
"2010","3.32","Arms Around You"
"2010","3.66","Alright"
"2010","3.29","No Promises"
"2010","4.42","Sorry"
"2010","3.98","Berzerk"
"2010","2.77","Donald Trump"
"2010","3.65","Won't Be Late"
"2010","3.79","I'm Gonna Love You Through It"
"2010","2.86","Bo$$"
"2010","8.07","Mirrors"
"2010","3.4","Dynamite"
"2010","5","Poetic Justice"
"2010","3.83","King's Dead"
"2010","4.13","50 Ways To Say Goodbye"
"2010","2.95","The Wind"
"2010","3.41","South Of The Border"
"2010","3.79","Hold My Hand"
"2010","4.03","I'm Out"
"2010","4.68","I'll Never Love Again"
"2010","4.54","Do I Wanna Know?"
"2010","4.34","Dark Times"
"2010","3.63","Nothing But Trouble (Instagram Models)"
"2010","3.99","Princess Of China"
"2010","1.99","Jocelyn Flores"
"2010","3.66","I Lived It"
"2010","3.69","Neon Light"
"2010","4.75","A Thousand Years"
"2010","4.68","It Won't Stop"
"2010","3.26","This Girl"
"2010","3.33","Baby Be My Love Song"
"2010","3.26","Whip My Hair"
"2010","5.11","Birthday Song"
"2010","2.56","Uber Everywhere"
"2010","2.27","KIKA"
"2010","2.61","Happy Holiday / The Holiday Season"
"2010","2.13","Cups (Pitch Perfect's When I'm Gone)"
"2010","3.5","Blackout"
"2010","4.12","Wake Me Up!"
"2010","4.81","I'm The One"
"2010","5","Collard Greens"
"2010","3.82","Highway 20 Ride"
"2010","4.23","Black Barbies"
"2010","3.89","The Walker"
"2010","4.8","Not Alike"
"2010","3.22","Made In America"
"2010","2.73","Roxanne"
"2010","3.63","Call You Mine"
"2010","4.35","Versace On The Floor"
"2010","3.45","Adore You"
"2010","5.22","Blunt Blowin"
"2010","3.75","Liquor"
"2010","4.33","No Brainer"
"2010","3.1","It Goes Like This"
"2010","3.48","Element."
"2010","3.13","The Weekend"
"2010","3.44","Irresistible"
"2010","3.06","Money"
"2010","3.6","Man Of The Year"
"2010","3.64","On The Road"
"2010","3.72","Delirious (Boneless)"
"2010","3.69","Crying On A Suitcase"
"2010","3.84","Wop"
"2010","4.16","Yeah Ya Know (Takers)"
"2010","3.74","Worth It"
"2010","4.74","I Don't F**k With You"
"2010","2.82","Valuable Pain"
"2010","3.82","Crazy Kids"
"2010","3.68","Got Your Back"
"2010","2.9","One Dance"
"2010","3.05","Ain't No Stopping Us Now"
"2010","3.16","Wild Child"
"2010","3.34","I'm Gonna Be"
"2010","3.58","You Lie"
"2010","3.8","Christmas Tree Farm"
"2010","3.88","Down That Road"
"2010","3.26","Who Says"
"2010","3.37","Party In The U.S.A."
"2010","3.73","The Champion"
"2010","3.89","Over"
"2010","3.77","May We All"
"2010","4.3","El Farsante"
"2010","3.18","Youth"
"2010","3.49","Anywhere With You"
"2010","3.49","Team"
"2010","4.37","She Don't Love You"
"2010","4.2","Dog Days Are Over"
"2010","3.39","I Will Never Let You Down"
"2010","3.65","High School"
"2010","2.91","Let Me Go"
"2010","0.99","Levels"
"2010","3.6","Adore"
"2010","3.39","Wild Wild Love"
"2010","3.68","Believe"
"2010","3.04","Singles You Up"
"2010","3.27","Drive By"
"2010","4.45","All Kinds Of Kinds"
"2010","3.49","I Like The Sound Of That"
"2010","5.89","Take Back The Night"
"2010","3.2","Song For Another Time"
"2010","3.3","I Won't Give Up"
"2010","3.2","CRZY"
"2010","3.01","Airplanes"
"2010","3.07","Trampoline"
"2010","4.22","I Like It"
"2010","4.45","New Level"
"2010","2.79","Barefoot Blue Jean Night"
"2010","4.94","I'm On One"
"2010","4.18","GIRL"
"2010","3.97","Sup Mate"
"2010","2.82","Transportin'"
"2010","3.22","Church Bells"
"2010","4.35","Born This Way"
"2010","4.52","Little Miss"
"2010","2.62","I Love It"
"2010","3.05","Only Human"
"2010","3.71","Hurricane"
"2010","3.96","No Lie"
"2010","2.18","""If I'm Lyin, I'm Flyin"""
"2010","3.02","Sleigh Ride"
"2010","3.83","God Gave Me You"
"2010","3.78","Whip"
"2010","3.99","CoCo"
"2010","3.29","Talk"
"2010","3.53","Love Someone"
"2010","2.85","My Oh My"
