"year","duration","track","artist","mode","target"
"2010","3.57","Don't Wanna Know","Maroon 5 Featuring Kendrick Lamar","1","1"
"2010","3.97","Electricity","Silk City x Dua Lipa","1","1"
"2010","4.55","Drifting","G-Eazy Featuring Chris Brown & Tory Lanez","0","1"
"2010","3.06","Va Va Voom","Nicki Minaj","1","1"
"2010","3.75","Diamonds","Rihanna","0","1"
"2010","3.69","Just Us","DJ Khaled Featuring SZA","0","1"
"2010","2.9","Sweetener","Ariana Grande","1","1"
"2010","3.34","According To You","Orianthi","1","1"
"2010","3.83","E.T.","Katy Perry Featuring Kanye West","1","1"
"2010","3","Here For A Good Time","George Strait","1","1"
"2010","4.19","California King Bed","Rihanna","1","1"
"2010","3.1","DNA.","Kendrick Lamar","1","1"
"2010","3.11","Angel Eyes","Love And Theft","1","1"
"2010","4.86","Black Beatles","Rae Sremmurd Featuring Gucci Mane","1","1"
"2010","3.99","Bad Things","Machine Gun Kelly x Camila Cabello","1","1"
"2010","5.04","Emotionless","Drake","1","1"
"2010","3.91","Proud","2 Chainz Featuring YG & Offset","0","1"
"2010","3.46","Watch Out","2 Chainz","0","1"
"2010","4.4","No Hands","Waka Flocka Flame Featuring Roscoe Dash & Wale","1","1"
"2010","3.67","Grammys","Drake Featuring Future","1","1"
"2010","2.8","Staring At The Sun","Post Malone Featuring SZA","0","1"
"2010","4.81","A Lot","21 Savage","1","1"
"2010","3.69","Wrecking Ball","Miley Cyrus","1","1"
"2010","3.71","We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song]","Pitbull Featuring Jennifer Lopez & Claudia Leitte","0","1"
"2010","2.47","Tap","NAV Featuring Meek Mill","1","1"
"2010","2.88","Stay With Me","Sam Smith","1","1"
"2010","3.71","Good Drank","2 Chainz x Gucci Mane x Quavo","0","1"
"2010","3.5","Friday","Rebecca Black","0","1"
"2010","3.96","I Wish You Would","DJ Khaled Featuring Kanye West & Rick Ross","1","1"
"2010","5.31","Same Love","Macklemore & Ryan Lewis Featuring Mary Lambert","1","1"
"2010","3.77","Hot Shower","Chance The Rapper Featuring MadeinTYO & DaBaby","1","1"
"2010","3.28","Harlem Shake","Baauer","1","1"
"2010","4.29","High By The Beach","Lana Del Rey","0","1"
"2010","3.82","Nobody Else But You","Trey Songz","0","1"
"2010","3.56","Ice Tray","Quavo & Lil Yachty","0","1"
"2010","2.26","A Holly Jolly Christmas","Burl Ives","1","1"
"2010","3.58","It All Comes Out In The Wash","Miranda Lambert","1","1"
"2010","3.59","Circles","Post Malone","1","1"
"2010","3.12","It's Time","Imagine Dragons","1","1"
"2010","4.28","Words I Never Said","Lupe Fiasco Featuring Skylar Grey","0","1"
"2010","3.83","Hurt You","The Weeknd Featuring Gesaffelstein","0","1"
"2010","3.25","Tell Me Something Good","Glee Cast","1","1"
"2010","3.66","Better Together","Luke Combs","1","1"
"2010","3.54","Pontoon","Little Big Town","1","1"
"2010","2.88","Side Effects","The Chainsmokers Featuring Emily Warren","1","1"
"2010","3.7","Living","Dierks Bentley","1","1"
"2010","5.63","Believe Me","Lil Wayne Featuring Drake","0","1"
